CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
2,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,1,4,4,1586,83,11,14,12,49,64,29,6,0,0,1854,1,25,1880,2336
2,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,2,2,2,378,35,4,12,5,20,81,5,4,0,0,544,0,12,556,926
2,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,3,3,3,777,61,14,23,9,86,243,21,7,1,0,1242,2,20,1264,1750
2,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,4,2,2,530,51,7,29,11,76,252,14,2,0,0,972,1,32,1005,1399
2,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,5,1,1,300,23,5,12,5,36,102,7,1,0,0,491,0,13,504,748
2,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,6,1,1,291,37,4,11,6,31,95,2,1,0,0,478,0,8,486,682
2,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,7,2,2,333,33,5,16,6,34,127,10,4,0,0,568,0,10,578,769
2,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,8,2,2,558,51,3,19,5,62,189,16,7,0,0,910,3,17,930,1242
2,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,9,2,2,615,57,6,21,10,58,214,21,3,0,0,1005,1,28,1034,1273
2,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,10,2,2,526,59,15,30,6,42,156,16,5,1,0,856,3,21,880,1202
2,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,11,2,2,423,35,6,33,14,47,184,15,2,0,0,759,0,8,767,1245
2,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,12,2,2,359,46,12,14,4,34,126,16,9,0,0,620,1,15,636,815
2,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,13,2,2,317,30,6,9,10,40,124,6,4,1,0,547,0,30,577,785
2,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,14,2,2,416,31,6,14,4,40,131,12,8,0,0,662,0,14,676,942
2,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,15,2,2,247,26,7,23,8,43,160,9,6,1,1,531,2,25,558,995
2,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,16,2,2,230,25,11,8,4,36,135,8,4,0,0,461,1,24,486,861
2,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,17,2,2,302,17,6,31,5,46,165,6,4,1,0,583,0,32,615,1025
2,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,18,2,2,342,49,8,29,7,48,155,15,4,0,0,657,1,24,682,1040
2,1,AGUASCALIENTES,10,AGUASCALIENTES,1,AGUASCALIENTES,19,2,2,414,46,12,9,7,39,108,16,8,0,0,659,0,21,680,1009
2,1,AGUASCALIENTES,10,AGUASCALIENTES,1,AGUASCALIENTES,20,2,2,466,55,14,16,10,41,137,16,3,0,0,758,1,22,781,1052
2,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,21,2,2,301,42,13,27,12,60,230,11,7,1,0,704,1,39,744,1276
2,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,22,1,1,165,28,3,14,6,23,112,7,7,0,0,365,0,30,395,712
2,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,23,2,2,271,29,10,15,9,35,139,2,4,0,0,514,1,15,530,921
2,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,24,1,1,145,27,3,5,5,36,90,5,0,0,0,316,2,18,336,623
2,1,AGUASCALIENTES,17,AGUASCALIENTES,1,AGUASCALIENTES,25,2,2,284,19,18,12,8,39,128,11,2,0,0,521,0,12,533,908
2,1,AGUASCALIENTES,17,AGUASCALIENTES,1,AGUASCALIENTES,26,2,2,348,29,7,19,13,48,185,12,4,0,0,665,0,22,687,1112
2,1,AGUASCALIENTES,17,AGUASCALIENTES,1,AGUASCALIENTES,27,1,1,192,16,12,6,2,36,76,6,4,0,0,350,1,11,362,551
2,1,AGUASCALIENTES,17,AGUASCALIENTES,1,AGUASCALIENTES,28,1,1,113,13,4,10,3,21,50,2,2,0,0,218,1,10,229,362
2,1,AGUASCALIENTES,17,AGUASCALIENTES,1,AGUASCALIENTES,29,2,2,206,41,9,17,11,44,124,6,2,0,0,460,0,22,482,861
2,1,AGUASCALIENTES,17,AGUASCALIENTES,1,AGUASCALIENTES,30,1,1,180,17,11,12,8,13,79,5,2,0,0,327,0,2,329,591
2,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,31,2,2,262,20,12,26,6,31,122,7,10,1,0,497,1,29,527,950
2,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,32,2,2,204,48,21,28,12,38,201,8,7,0,0,567,2,36,605,1145
2,1,AGUASCALIENTES,17,AGUASCALIENTES,1,AGUASCALIENTES,33,2,2,227,16,5,14,7,25,159,9,4,0,0,466,0,20,486,826
2,1,AGUASCALIENTES,10,AGUASCALIENTES,1,AGUASCALIENTES,34,2,2,241,19,4,16,2,19,103,8,0,0,0,412,1,9,422,751
2,1,AGUASCALIENTES,10,AGUASCALIENTES,1,AGUASCALIENTES,35,3,3,1001,60,14,34,14,80,242,24,9,0,1,1479,4,38,1521,2190
2,1,AGUASCALIENTES,10,AGUASCALIENTES,1,AGUASCALIENTES,36,2,2,341,31,6,17,10,33,144,10,7,0,0,599,0,21,620,879
2,1,AGUASCALIENTES,10,AGUASCALIENTES,1,AGUASCALIENTES,37,2,2,422,57,2,15,7,37,142,10,3,0,0,695,0,23,718,1034
2,1,AGUASCALIENTES,17,AGUASCALIENTES,1,AGUASCALIENTES,38,2,2,473,47,13,19,12,33,186,24,8,1,0,816,0,36,852,1336
2,1,AGUASCALIENTES,17,AGUASCALIENTES,1,AGUASCALIENTES,39,2,2,247,25,3,14,4,41,159,12,2,0,0,507,1,24,532,820
2,1,AGUASCALIENTES,17,AGUASCALIENTES,1,AGUASCALIENTES,40,2,2,422,41,8,17,9,53,180,13,6,0,1,750,1,21,772,1207
2,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,42,2,2,365,36,17,24,9,35,194,7,7,1,0,695,0,33,728,1238
2,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,43,3,3,847,58,8,39,12,94,221,23,7,1,0,1310,4,45,1359,1929
2,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,44,6,6,2680,171,22,42,14,150,348,28,8,1,0,3464,4,48,3516,4395
2,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,45,3,3,999,73,6,9,5,38,102,27,6,2,0,1267,1,14,1282,1567
2,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,46,3,3,1122,68,22,17,8,66,141,23,9,0,0,1476,0,31,1507,1996
2,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,47,5,5,2301,131,25,29,6,90,223,53,9,1,0,2868,2,33,2903,3660
2,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,48,3,3,956,80,12,17,8,72,212,28,12,0,0,1397,0,27,1424,1951
2,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,49,2,2,538,52,11,27,3,74,205,15,10,1,0,936,2,41,979,1487
2,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,50,3,3,667,58,11,22,10,95,251,20,5,1,1,1141,3,26,1170,1740
2,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,51,2,2,401,51,10,28,12,82,174,14,6,0,0,778,1,30,809,1169
2,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,52,2,2,497,32,9,21,7,57,174,20,8,1,1,827,1,26,854,1238
2,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,53,3,3,767,61,3,32,14,74,188,22,6,1,0,1168,1,33,1202,1602
2,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,54,2,2,256,41,6,18,10,50,179,9,2,0,0,571,0,19,590,1063
2,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,55,2,2,362,32,16,16,8,56,160,13,3,4,0,670,2,30,702,1067
2,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,56,2,2,352,45,12,13,5,46,138,14,4,0,0,629,0,8,637,934
2,1,AGUASCALIENTES,11,AGUASCALIENTES,1,AGUASCALIENTES,57,2,2,309,31,6,15,5,35,148,7,4,0,0,560,0,23,583,826
2,1,AGUASCALIENTES,11,AGUASCALIENTES,1,AGUASCALIENTES,58,1,1,184,23,4,12,8,29,113,3,2,1,0,379,0,14,393,610
2,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,59,1,1,261,22,8,13,3,30,95,12,4,0,0,448,2,13,463,708
2,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,60,2,2,297,32,7,14,8,42,180,9,4,0,0,593,0,30,623,1009
2,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,61,1,1,193,18,2,12,4,33,145,11,1,0,1,420,0,20,440,725
2,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,62,1,1,210,22,3,22,5,31,102,8,7,0,0,410,1,17,428,685
2,1,AGUASCALIENTES,11,AGUASCALIENTES,1,AGUASCALIENTES,63,1,1,195,21,1,7,4,22,89,4,2,0,0,345,1,16,362,589
2,1,AGUASCALIENTES,11,AGUASCALIENTES,1,AGUASCALIENTES,64,2,2,279,26,6,19,6,36,143,6,2,0,0,523,0,18,541,777
2,1,AGUASCALIENTES,11,AGUASCALIENTES,1,AGUASCALIENTES,65,1,1,206,16,3,13,1,45,91,8,2,1,0,386,0,12,398,589
2,1,AGUASCALIENTES,11,AGUASCALIENTES,1,AGUASCALIENTES,66,2,2,318,40,5,15,3,38,126,7,8,0,0,560,0,18,578,810
2,1,AGUASCALIENTES,11,AGUASCALIENTES,1,AGUASCALIENTES,67,1,1,251,26,6,5,5,24,71,3,2,0,0,393,0,9,402,487
2,1,AGUASCALIENTES,11,AGUASCALIENTES,1,AGUASCALIENTES,68,1,1,219,23,8,9,8,33,127,11,1,0,0,439,0,20,459,656
2,1,AGUASCALIENTES,11,AGUASCALIENTES,1,AGUASCALIENTES,69,2,2,295,31,19,10,6,40,127,9,3,0,0,540,0,18,558,819
2,1,AGUASCALIENTES,11,AGUASCALIENTES,1,AGUASCALIENTES,70,1,1,221,11,3,5,4,30,104,4,0,0,1,383,0,12,395,576
2,1,AGUASCALIENTES,11,AGUASCALIENTES,1,AGUASCALIENTES,71,2,2,428,44,11,15,4,46,132,13,3,0,1,697,0,20,717,1000
2,1,AGUASCALIENTES,11,AGUASCALIENTES,1,AGUASCALIENTES,73,2,2,324,37,11,11,6,46,96,10,2,0,0,543,1,16,560,768
2,1,AGUASCALIENTES,11,AGUASCALIENTES,1,AGUASCALIENTES,72,1,1,162,18,6,14,0,16,71,8,2,0,0,297,0,15,312,484
2,1,AGUASCALIENTES,11,AGUASCALIENTES,1,AGUASCALIENTES,74,1,1,206,16,3,8,4,30,53,2,1,0,0,323,1,5,329,488
2,1,AGUASCALIENTES,11,AGUASCALIENTES,1,AGUASCALIENTES,75,1,1,235,24,3,8,7,22,87,6,1,0,0,393,0,9,402,591
2,1,AGUASCALIENTES,11,AGUASCALIENTES,1,AGUASCALIENTES,76,1,1,186,22,3,8,7,14,68,5,0,0,0,313,0,0,313,461
2,1,AGUASCALIENTES,11,AGUASCALIENTES,1,AGUASCALIENTES,77,1,1,181,28,8,9,5,14,89,9,0,0,0,343,0,10,353,516
2,1,AGUASCALIENTES,11,AGUASCALIENTES,1,AGUASCALIENTES,78,2,2,249,33,9,13,2,32,124,5,0,0,0,467,0,29,496,751
2,1,AGUASCALIENTES,11,AGUASCALIENTES,1,AGUASCALIENTES,79,2,2,301,26,5,12,3,33,122,3,3,1,0,509,1,18,528,759
2,1,AGUASCALIENTES,5,AGUASCALIENTES,1,AGUASCALIENTES,80,12,12,2271,243,62,161,88,368,1474,77,25,3,0,4772,4,206,4982,8253
2,1,AGUASCALIENTES,12,AGUASCALIENTES,1,AGUASCALIENTES,84,3,3,358,62,29,32,23,66,441,6,4,1,0,1022,0,77,1099,2112
2,1,AGUASCALIENTES,13,AGUASCALIENTES,1,AGUASCALIENTES,85,6,6,656,129,63,84,42,153,733,36,17,2,0,1915,0,107,2022,4414
2,1,AGUASCALIENTES,13,AGUASCALIENTES,1,AGUASCALIENTES,86,19,19,2576,305,204,332,120,539,2323,121,43,5,0,6568,2,370,6940,13034
2,1,AGUASCALIENTES,13,AGUASCALIENTES,1,AGUASCALIENTES,87,3,3,562,71,24,45,23,135,489,15,3,2,0,1369,1,58,1428,2209
2,1,AGUASCALIENTES,13,AGUASCALIENTES,1,AGUASCALIENTES,88,2,2,327,34,19,24,16,54,262,7,4,1,0,748,1,29,778,1297
2,1,AGUASCALIENTES,13,AGUASCALIENTES,1,AGUASCALIENTES,89,2,2,215,26,39,26,14,44,227,7,4,1,0,603,1,43,647,1172
2,1,AGUASCALIENTES,13,AGUASCALIENTES,1,AGUASCALIENTES,90,5,5,1301,103,39,57,46,164,536,46,11,3,4,2310,4,78,2392,3593
2,1,AGUASCALIENTES,13,AGUASCALIENTES,1,AGUASCALIENTES,91,2,2,381,28,13,20,4,45,167,6,4,3,1,672,0,14,686,961
2,1,AGUASCALIENTES,13,AGUASCALIENTES,1,AGUASCALIENTES,92,2,2,286,18,14,9,13,41,154,8,7,0,0,550,0,27,577,877
2,1,AGUASCALIENTES,13,AGUASCALIENTES,1,AGUASCALIENTES,93,2,2,361,42,14,18,18,55,188,9,7,3,0,715,1,25,741,1053
2,1,AGUASCALIENTES,13,AGUASCALIENTES,1,AGUASCALIENTES,94,1,1,133,7,5,4,9,23,130,6,3,0,0,320,0,26,346,605
2,1,AGUASCALIENTES,13,AGUASCALIENTES,1,AGUASCALIENTES,95,2,2,235,38,8,15,18,43,176,10,5,3,0,551,2,28,581,934
2,1,AGUASCALIENTES,13,AGUASCALIENTES,1,AGUASCALIENTES,96,4,4,849,82,13,58,29,185,475,31,9,2,1,1734,1,69,1804,2752
2,1,AGUASCALIENTES,13,AGUASCALIENTES,1,AGUASCALIENTES,97,2,2,80,22,21,60,14,23,169,4,4,1,0,398,0,27,425,917
2,1,AGUASCALIENTES,13,AGUASCALIENTES,1,AGUASCALIENTES,99,3,3,351,41,29,51,22,75,294,15,10,1,0,889,0,39,928,1837
2,1,AGUASCALIENTES,13,AGUASCALIENTES,1,AGUASCALIENTES,100,2,2,166,26,12,35,11,44,203,3,5,0,0,505,0,28,533,1034
2,1,AGUASCALIENTES,11,AGUASCALIENTES,1,AGUASCALIENTES,101,3,3,501,40,8,25,11,73,345,20,5,0,1,1029,1,44,1074,1793
2,1,AGUASCALIENTES,11,AGUASCALIENTES,1,AGUASCALIENTES,102,2,2,189,34,15,24,11,48,192,10,4,2,0,529,0,30,559,958
2,1,AGUASCALIENTES,11,AGUASCALIENTES,1,AGUASCALIENTES,103,2,2,211,30,8,15,6,27,183,7,3,0,0,490,0,26,516,808
2,1,AGUASCALIENTES,11,AGUASCALIENTES,1,AGUASCALIENTES,104,1,1,108,16,11,9,8,21,133,4,1,0,0,311,1,16,328,530
2,1,AGUASCALIENTES,11,AGUASCALIENTES,1,AGUASCALIENTES,105,1,1,113,27,16,7,4,21,125,6,4,0,0,323,0,16,339,599
2,1,AGUASCALIENTES,11,AGUASCALIENTES,1,AGUASCALIENTES,106,2,2,357,22,12,18,23,35,218,10,1,2,0,698,0,29,727,1171
2,1,AGUASCALIENTES,11,AGUASCALIENTES,1,AGUASCALIENTES,107,2,2,340,33,21,17,12,53,165,9,9,0,1,660,0,29,689,1107
2,1,AGUASCALIENTES,11,AGUASCALIENTES,1,AGUASCALIENTES,108,2,2,268,23,9,14,15,48,169,10,5,0,0,561,0,27,588,940
2,1,AGUASCALIENTES,11,AGUASCALIENTES,1,AGUASCALIENTES,109,2,2,324,39,5,24,7,41,197,4,6,0,0,647,0,25,672,1116
2,1,AGUASCALIENTES,11,AGUASCALIENTES,1,AGUASCALIENTES,110,2,3,199,32,1,11,7,48,119,8,1,1,0,427,0,18,445,455
2,1,AGUASCALIENTES,11,AGUASCALIENTES,1,AGUASCALIENTES,111,2,2,215,26,14,11,9,44,226,7,2,0,0,554,0,44,598,963
2,1,AGUASCALIENTES,11,AGUASCALIENTES,1,AGUASCALIENTES,112,2,2,404,46,13,20,5,71,251,14,4,1,0,829,2,23,854,1207
2,1,AGUASCALIENTES,11,AGUASCALIENTES,1,AGUASCALIENTES,113,2,2,356,24,9,17,10,53,220,13,4,3,0,709,0,23,732,1031
2,1,AGUASCALIENTES,11,AGUASCALIENTES,1,AGUASCALIENTES,114,2,2,304,33,9,12,6,42,175,10,2,0,0,593,1,34,628,888
2,1,AGUASCALIENTES,11,AGUASCALIENTES,1,AGUASCALIENTES,115,2,2,353,37,15,23,15,46,189,15,9,0,0,702,0,28,730,1133
2,1,AGUASCALIENTES,13,AGUASCALIENTES,1,AGUASCALIENTES,116,13,13,2073,268,145,169,125,436,1862,93,21,3,0,5195,1,262,5458,9422
2,1,AGUASCALIENTES,15,AGUASCALIENTES,1,AGUASCALIENTES,117,3,3,352,45,14,29,17,79,316,11,10,0,0,873,4,30,907,1553
2,1,AGUASCALIENTES,15,AGUASCALIENTES,1,AGUASCALIENTES,118,10,10,1587,162,55,136,68,328,1330,64,30,3,0,3763,4,155,3922,6610
2,1,AGUASCALIENTES,11,AGUASCALIENTES,1,AGUASCALIENTES,119,7,7,1791,166,50,62,44,219,865,57,12,2,2,3270,1,107,3378,4653
2,1,AGUASCALIENTES,11,AGUASCALIENTES,1,AGUASCALIENTES,120,2,2,234,16,10,12,5,25,148,11,4,4,0,469,0,23,492,761
2,1,AGUASCALIENTES,11,AGUASCALIENTES,1,AGUASCALIENTES,121,1,1,162,22,9,13,5,24,123,10,0,1,0,369,0,15,384,585
2,1,AGUASCALIENTES,11,AGUASCALIENTES,1,AGUASCALIENTES,122,2,2,305,44,20,11,11,50,218,11,3,0,0,673,4,20,697,1065
2,1,AGUASCALIENTES,11,AGUASCALIENTES,1,AGUASCALIENTES,123,1,1,194,20,7,6,10,19,117,3,3,0,0,379,0,15,394,645
2,1,AGUASCALIENTES,11,AGUASCALIENTES,1,AGUASCALIENTES,124,1,1,171,19,5,4,3,35,116,1,1,0,0,355,0,11,366,488
2,1,AGUASCALIENTES,11,AGUASCALIENTES,1,AGUASCALIENTES,125,2,2,363,40,10,13,12,34,209,17,1,0,0,699,0,25,724,1070
2,1,AGUASCALIENTES,15,AGUASCALIENTES,1,AGUASCALIENTES,126,4,5,743,112,55,50,27,114,409,29,8,1,1,1549,2,65,1616,2078
2,1,AGUASCALIENTES,15,AGUASCALIENTES,1,AGUASCALIENTES,127,2,2,341,53,2,17,18,47,319,17,8,1,1,824,0,35,859,1286
2,1,AGUASCALIENTES,15,AGUASCALIENTES,1,AGUASCALIENTES,128,2,2,172,42,7,18,19,23,226,9,2,0,0,518,1,38,557,828
2,1,AGUASCALIENTES,15,AGUASCALIENTES,1,AGUASCALIENTES,129,2,2,253,38,14,18,16,42,243,14,2,0,0,640,0,26,666,931
2,1,AGUASCALIENTES,15,AGUASCALIENTES,1,AGUASCALIENTES,130,2,2,322,40,11,29,18,56,354,10,9,0,0,849,3,50,902,1383
2,1,AGUASCALIENTES,15,AGUASCALIENTES,1,AGUASCALIENTES,131,2,2,245,33,9,21,10,31,217,10,3,0,0,579,0,28,607,928
2,1,AGUASCALIENTES,15,AGUASCALIENTES,1,AGUASCALIENTES,132,2,2,235,40,14,14,11,42,220,11,0,0,0,587,0,34,621,929
2,1,AGUASCALIENTES,15,AGUASCALIENTES,1,AGUASCALIENTES,133,2,2,339,35,11,21,12,57,256,16,1,1,0,749,0,28,777,1109
2,1,AGUASCALIENTES,15,AGUASCALIENTES,1,AGUASCALIENTES,134,2,2,227,25,7,16,11,27,190,8,1,0,0,512,2,25,539,782
2,1,AGUASCALIENTES,15,AGUASCALIENTES,1,AGUASCALIENTES,135,2,2,371,42,17,24,6,50,237,9,5,1,0,762,0,29,791,1217
2,1,AGUASCALIENTES,15,AGUASCALIENTES,1,AGUASCALIENTES,136,3,3,414,73,21,19,22,78,343,20,5,1,0,996,1,49,1046,1740
2,1,AGUASCALIENTES,15,AGUASCALIENTES,1,AGUASCALIENTES,137,1,1,108,13,13,9,4,22,106,5,2,0,0,282,0,10,292,508
2,1,AGUASCALIENTES,11,AGUASCALIENTES,1,AGUASCALIENTES,138,2,2,378,42,21,25,15,52,283,16,5,1,0,838,0,18,856,1373
2,1,AGUASCALIENTES,11,AGUASCALIENTES,1,AGUASCALIENTES,139,2,2,194,26,19,8,6,24,145,6,3,0,0,431,0,26,457,803
2,1,AGUASCALIENTES,11,AGUASCALIENTES,1,AGUASCALIENTES,140,2,2,282,38,7,18,5,41,164,14,8,0,0,577,0,24,601,821
2,1,AGUASCALIENTES,11,AGUASCALIENTES,1,AGUASCALIENTES,141,2,2,256,33,4,8,5,44,196,11,2,0,0,559,0,30,589,992
2,1,AGUASCALIENTES,11,AGUASCALIENTES,1,AGUASCALIENTES,142,2,2,218,31,9,18,13,37,202,5,3,0,1,537,0,21,558,774
2,1,AGUASCALIENTES,11,AGUASCALIENTES,1,AGUASCALIENTES,143,2,2,250,31,3,24,5,46,172,2,5,0,0,538,0,41,579,859
2,1,AGUASCALIENTES,11,AGUASCALIENTES,1,AGUASCALIENTES,144,2,2,221,36,18,17,15,42,176,7,5,0,1,538,0,27,565,894
2,1,AGUASCALIENTES,11,AGUASCALIENTES,1,AGUASCALIENTES,145,1,1,210,45,10,11,6,31,155,10,5,0,0,483,0,29,512,719
2,1,AGUASCALIENTES,14,AGUASCALIENTES,1,AGUASCALIENTES,146,2,2,258,34,8,35,9,42,188,10,4,0,0,588,1,41,630,1104
2,1,AGUASCALIENTES,14,AGUASCALIENTES,1,AGUASCALIENTES,147,2,2,186,26,8,27,11,47,201,8,3,0,0,517,0,37,554,965
2,1,AGUASCALIENTES,11,AGUASCALIENTES,1,AGUASCALIENTES,148,2,2,281,26,21,31,15,47,271,10,3,0,0,705,0,50,755,1438
2,1,AGUASCALIENTES,11,AGUASCALIENTES,1,AGUASCALIENTES,149,6,6,1146,151,26,75,33,188,795,41,10,0,0,2465,1,86,2552,3862
2,1,AGUASCALIENTES,15,AGUASCALIENTES,1,AGUASCALIENTES,150,2,2,249,35,9,15,11,50,205,10,2,0,0,586,0,44,630,889
2,1,AGUASCALIENTES,15,AGUASCALIENTES,1,AGUASCALIENTES,151,2,2,182,26,17,13,4,41,139,4,1,0,0,427,0,15,442,782
2,1,AGUASCALIENTES,15,AGUASCALIENTES,1,AGUASCALIENTES,152,4,4,627,67,68,58,44,129,567,21,14,1,1,1597,0,89,1686,2981
2,1,AGUASCALIENTES,15,AGUASCALIENTES,1,AGUASCALIENTES,153,2,2,281,50,9,20,14,64,220,6,2,0,1,667,2,26,695,988
2,1,AGUASCALIENTES,15,AGUASCALIENTES,1,AGUASCALIENTES,154,3,3,238,39,29,39,19,58,313,8,7,0,0,750,2,44,796,1631
2,1,AGUASCALIENTES,15,AGUASCALIENTES,1,AGUASCALIENTES,155,17,17,2327,285,181,175,128,464,2211,79,40,4,0,5894,4,259,6157,11757
2,1,AGUASCALIENTES,14,AGUASCALIENTES,1,AGUASCALIENTES,157,2,2,161,24,12,19,14,39,162,6,2,0,0,439,1,24,464,882
2,1,AGUASCALIENTES,14,AGUASCALIENTES,1,AGUASCALIENTES,158,1,1,142,12,4,10,4,21,72,3,3,0,0,271,0,13,284,412
2,1,AGUASCALIENTES,11,AGUASCALIENTES,1,AGUASCALIENTES,159,1,1,240,31,8,8,5,33,104,8,2,1,0,440,0,19,459,637
2,1,AGUASCALIENTES,14,AGUASCALIENTES,1,AGUASCALIENTES,160,2,2,339,31,29,17,11,57,179,15,2,0,0,680,3,24,707,1036
2,1,AGUASCALIENTES,14,AGUASCALIENTES,1,AGUASCALIENTES,162,2,2,154,22,8,23,8,80,170,7,4,0,0,476,2,29,507,861
2,1,AGUASCALIENTES,14,AGUASCALIENTES,1,AGUASCALIENTES,163,1,1,142,13,8,12,7,75,114,4,0,2,0,377,0,29,406,675
2,1,AGUASCALIENTES,14,AGUASCALIENTES,1,AGUASCALIENTES,164,9,9,2281,232,53,156,47,457,1043,71,16,1,1,4358,4,108,4470,6699
2,1,AGUASCALIENTES,14,AGUASCALIENTES,1,AGUASCALIENTES,165,3,3,435,23,12,32,15,99,260,19,4,2,0,901,1,44,946,1515
2,1,AGUASCALIENTES,14,AGUASCALIENTES,1,AGUASCALIENTES,167,1,1,242,13,3,20,4,63,131,6,0,0,0,482,0,15,497,743
2,1,AGUASCALIENTES,14,AGUASCALIENTES,1,AGUASCALIENTES,168,4,4,906,92,15,70,22,227,478,26,12,1,0,1849,3,52,1904,2861
2,1,AGUASCALIENTES,14,AGUASCALIENTES,1,AGUASCALIENTES,169,3,3,523,66,21,49,12,139,357,13,6,1,0,1187,1,57,1245,2089
2,1,AGUASCALIENTES,14,AGUASCALIENTES,1,AGUASCALIENTES,170,5,5,718,79,40,65,24,188,630,25,15,0,0,1784,3,78,1865,3188
2,1,AGUASCALIENTES,17,AGUASCALIENTES,1,AGUASCALIENTES,171,1,1,224,24,5,11,1,21,87,5,4,1,0,383,1,15,399,583
2,1,AGUASCALIENTES,17,AGUASCALIENTES,1,AGUASCALIENTES,172,1,1,273,29,5,10,2,36,91,8,7,0,1,462,0,15,477,699
2,1,AGUASCALIENTES,17,AGUASCALIENTES,1,AGUASCALIENTES,173,1,1,173,12,4,9,4,20,70,5,3,0,0,300,0,17,317,475
2,1,AGUASCALIENTES,17,AGUASCALIENTES,1,AGUASCALIENTES,174,2,2,373,42,9,15,3,38,124,15,7,0,0,626,0,22,648,959
2,1,AGUASCALIENTES,17,AGUASCALIENTES,1,AGUASCALIENTES,175,2,2,390,31,3,7,7,24,94,16,4,0,0,576,0,13,589,875
2,1,AGUASCALIENTES,17,AGUASCALIENTES,1,AGUASCALIENTES,176,1,1,165,19,3,3,5,14,50,8,2,0,0,269,0,4,273,387
