ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,MORENA,PESC,CL,EDC,MLC,PRI_PRD,PT_PVEM_MORENA,PT_PVEM,PT_MORENA,PVEM_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
4,CAMPECHE,1,CAMPECHE,150,375,385,7518,18058,828,3442,2960,57787,34937,691,2405,1188,690,424,2449,468,541,354,134740,92,3838,138670,216947,
4,CAMPECHE,2,CALKINI,30,63,64,966,1738,83,770,780,7480,10360,66,502,116,71,10,347,55,82,46,23472,4,665,24141,32551,
4,CAMPECHE,3,CARMEN,142,319,325,5434,3703,827,2542,2514,26913,54445,1408,1282,903,451,172,2885,252,476,325,104532,66,3829,108427,188102,
4,CAMPECHE,4,CHAMPOTON,48,108,110,3326,3329,207,1309,1001,7814,14304,166,808,82,127,45,798,150,168,132,33766,62,1493,35321,58658,
4,CAMPECHE,5,HECELCHAKAN,18,42,42,82,414,40,482,283,7619,7209,188,44,512,41,8,222,43,58,19,17264,0,391,17655,24253,
4,CAMPECHE,6,HOPELCHEN,32,58,59,172,9076,124,443,792,2393,7647,137,15,40,96,69,183,58,53,43,21341,1,533,21875,30813,
4,CAMPECHE,7,PALIZADA,10,14,14,560,951,18,1408,57,1365,1313,5,2,8,9,8,0,0,0,0,5704,0,154,5858,7401,
4,CAMPECHE,8,TENABO,8,17,17,822,1858,15,85,182,1643,2100,8,17,40,184,17,70,15,18,14,7088,0,170,7258,8887,
4,CAMPECHE,9,ESCARCEGA,36,80,82,710,3219,203,983,683,3883,8194,161,3653,87,83,34,547,111,93,81,22725,21,1169,23915,44631,
4,CAMPECHE,10,CANDELARIA,35,70,70,3070,269,42,741,551,6019,7965,43,30,25,28,39,491,89,116,57,19575,7,916,20498,36016,
4,CAMPECHE,11,CALAKMUL,18,42,43,503,1768,40,411,380,1076,5227,92,2314,40,71,17,248,72,34,49,12342,1,670,13013,20986,
4,CAMPECHE,12,DZITBALCHE,6,18,18,261,1802,29,186,134,3565,2458,49,20,68,22,13,80,16,14,14,8731,1,278,9010,12180,
4,CAMPECHE,13,SEYBAPLAYA,9,22,22,1142,2801,112,228,196,975,2821,32,67,9,13,48,117,22,28,21,8632,1,277,8910,12016,
