ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,MA,FXMG,PSG,PES,PAC,MLGRO,PBG,REGENERACION,PAN_PRI_PRD,PT_PVEM_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
12,GUERRERO,43,MARTIR DE CUILAPAN,16,27,27,,,,,,1728,,10,,,52,,15,,,4299,2746,8850,4,526,9380,14825,
12,GUERRERO,44,METLATONOC,16,33,33,8,44,1251,2064,2664,1619,108,31,,,,124,36,26,,,,7975,1,411,7639,14144,
12,GUERRERO,45,MOCHITLAN,16,22,22,,,,,,73,,,,38,14,104,,29,,737,4223,5218,2,309,5529,9328,
12,GUERRERO,46,OLINALA,25,40,40,,,,,,1543,,,,,,131,50,52,,6877,5375,14028,1,469,14498,20948,
12,GUERRERO,47,OMETEPEC,38,91,91,,11748,225,,,350,,36,594,,70,114,235,441,,,19207,33020,1,1354,34375,49461,
12,GUERRERO,48,PEDRO ASCENCIO ALQUISIRAS,20,21,21,,144,2372,,,,,,,,,,,25,,,390,2931,0,144,3075,4826,
12,GUERRERO,49,PETATLAN,52,76,77,,,,284,236,445,12061,,43,,51,259,,,,2299,,15678,2,1035,16715,32967,
12,GUERRERO,50,PILCAYA,15,21,21,,,,,,,,,,,,,,,98,3093,3434,6625,9,152,6786,9457,
12,GUERRERO,51,PUNGARABATO,22,53,54,,,,,,,,,,,,74,65,,,8369,5001,13509,3,848,14360,29726,
12,GUERRERO,52,QUECHULTENANGO,40,56,56,,295,10549,,,,,,,223,,95,,,,,1518,12680,1,761,13442,24835,
12,GUERRERO,53,SAN LUIS ACATLAN,25,60,61,,,,1658,5435,3559,4827,,,,,147,,146,,3078,,18850,3,1196,18850,32433,
12,GUERRERO,54,SAN MARCOS,39,61,61,52,6431,829,,,475,,,42,83,19,113,18,,29,,8681,16772,1,904,17677,30312,
12,GUERRERO,55,SAN MIGUEL TOTOLAPAN,37,43,43,18,7585,38,26,4829,63,210,39,,,,,,5,,,,12813,1,624,12813,14253,
12,GUERRERO,56,TAXCO DE ALARCON,88,151,152,,,,,,6368,,429,590,,,152,427,,705,15332,17460,41463,11,1789,43263,79881,
12,GUERRERO,57,TECOANAPA,39,65,65,,,,,,8048,,,,,,84,,,,4830,8679,21641,0,928,22569,33002,
12,GUERRERO,58,TECPAN DE GALEANA,66,105,106,,,,,,1209,,,,,72,134,388,592,,7455,17834,27684,4,858,28546,50612,
12,GUERRERO,59,TELOLOAPAN,74,101,102,147,578,10131,,,,,,102,,79,80,,107,,,4324,15548,2727,2094,20369,39301,
12,GUERRERO,60,TEPECOACUILCO DE TRUJANO,31,49,50,,,,,,4596,,394,,,,64,22,,,5272,4417,14765,2,502,15269,25049,
12,GUERRERO,61,TETIPAC,23,27,27,,,,,,55,,,,,,,,,,1880,3751,5686,2,373,6061,9771,
12,GUERRERO,62,TIXTLA DE GUERRERO,29,60,61,,,,797,211,877,5979,,,161,54,51,73,774,,8312,,17289,14,1110,18413,32950,
12,GUERRERO,63,TLACOACHISTLAHUACA,14,32,32,44,653,34,5042,133,59,4619,,,,,21,,,,,,10605,0,293,10898,16684,
12,GUERRERO,64,TLACOAPA,10,15,15,15,,691,2047,761,307,809,,,,,,,,124,,,4754,1,187,4942,6754,
12,GUERRERO,65,TLALCHAPA,17,22,23,,,,,,88,,,,,,41,,11,,412,5280,5832,18,215,6064,9728,
12,GUERRERO,66,TLALIXTAQUILLA DE MALDONADO,8,13,13,,,,10,844,1762,521,,,,,,3,,,443,,3583,0,178,3761,5732,
12,GUERRERO,67,TLAPA DE COMONFORT,36,114,114,,,,,,957,,59,,,289,212,8265,4945,,12763,10495,37985,12,2217,40214,67851,
12,GUERRERO,68,TLAPEHUALA,22,36,37,,9098,28,,,80,,,,,,75,8,,,,1577,10866,0,262,11128,17057,
12,GUERRERO,69,LA UNION DE ISIDORO MONTES DE OCA,33,51,51,,2065,6521,,,,,,21,,,25,,,,,4932,13564,2,410,13976,21830,
12,GUERRERO,70,XALPATLAHUAC,13,20,20,,,,,,2856,,,,,,42,,,,2727,617,6242,0,494,6736,10145,
12,GUERRERO,71,XOCHIHUEHUETLAN,8,12,12,7,3,1283,40,50,,1766,,,,,19,453,27,,,,3648,3,175,3826,5968,
12,GUERRERO,72,XOCHISTLAHUACA,15,39,39,63,6258,58,149,134,226,7826,52,,,,137,,,,,,14903,7,636,14903,21765,
12,GUERRERO,73,ZAPOTITLAN TABLAS,9,16,16,,,,43,1865,404,996,,,,31,291,249,112,,1035,,5026,5,585,5616,7678,
12,GUERRERO,74,ZIRANDARO,22,32,33,,,,59,46,57,3802,,,,,56,,,,4055,,8075,0,291,8366,13938,
12,GUERRERO,75,ZITLALA,19,33,34,565,3460,3534,113,283,,1871,31,,,44,,,,,,,9901,0,574,10475,16416,
12,GUERRERO,76,ACATEPEC,26,67,67,,60,8706,,,,,,,,,,,,,,9562,18328,4,706,19038,24372,
12,GUERRERO,77,JOSE JOAQUIN DE HERRERA,9,21,21,,3572,68,,,54,,,,,,,,97,,,4032,7823,1,392,8216,11880,
12,GUERRERO,78,ILIATENCO,6,14,14,,320,416,621,831,1331,500,,,,984,,,,,,,5003,0,247,5250,7781,
12,GUERRERO,79,COCHOAPA EL GRANDE,16,33,33,862,39,52,2203,2514,50,1305,2316,,,37,57,17,,,,,9452,2,367,9821,15760,
12,GUERRERO,80,MARQUELIA,11,19,20,,,,183,2772,216,1722,,,,,7,,,,1501,,6401,1,280,6682,10150,
12,GUERRERO,81,JUCHITAN,12,15,15,,,,586,29,494,1280,,,,,,,17,,1289,,3695,0,159,3854,5690,
12,GUERRERO,83,LAS VIGAS,9,14,14,,62,1547,,,226,,,,,,70,,,,,2097,4002,0,205,4207,7166,
12,GUERRERO,84,SAN NICOLAS,8,12,12,,31,1,,,203,,24,,,,,,663,147,,1746,2815,1,157,2973,5088,
12,GUERRERO,85,SANTA CRUZ DEL RINCON,3,9,9,,7,101,,,,,5,,,130,,986,746,,,1125,3100,1,146,3247,4960,
