ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,VIDA_NL,ESO,LIBERAL,PESNL,JUSTICIALISTA,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_MORENA,CAND_IND1,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
19,NUEVO LEON,1,ABASOLO,2,4,4,176,7,7,14,189,1117,477,3,0,3,0,0,9,4,0,0,0,0,2006,0,43,2049,2596,
19,NUEVO LEON,2,AGUALEGUAS,9,10,10,1531,21,4,11,0,1509,35,2,0,0,0,0,24,21,6,1,2,0,3167,0,112,3279,4583,
19,NUEVO LEON,3,LOS ALDAMAS,5,5,5,522,134,12,17,0,542,18,0,0,0,0,0,40,42,2,0,2,0,1331,0,57,1388,2195,
19,NUEVO LEON,4,ALLENDE,19,51,52,9065,614,0,225,171,4263,1654,0,0,0,0,0,0,0,0,0,53,0,16045,5,579,16629,31213,
19,NUEVO LEON,5,ANAHUAC,14,29,30,1095,4024,75,40,0,2922,488,0,0,0,0,0,327,231,9,11,0,0,9222,0,335,9557,14692,
19,NUEVO LEON,6,APODACA,313,814,817,31927,110401,2719,5227,4740,40358,55204,2804,985,0,0,435,6822,1269,107,199,0,0,263197,88,7703,270988,484188,
19,NUEVO LEON,7,ARAMBERRI,17,28,28,24,4027,0,46,44,5539,161,0,0,0,0,0,0,0,0,0,3,0,9844,0,543,10387,12641,
19,NUEVO LEON,8,BUSTAMANTE,4,5,5,1339,59,3,65,38,1167,17,2,71,0,0,0,32,17,1,1,3,0,2815,0,59,2874,3529,
19,NUEVO LEON,9,CADEREYTA JIMENEZ,61,156,156,11180,1380,237,4184,932,14955,7498,386,0,0,0,0,436,126,30,5,0,0,41349,7,1900,43256,93702,
19,NUEVO LEON,10,CARMEN,4,68,69,517,244,46,3081,704,9291,3357,461,0,772,0,308,26,26,0,1,275,0,19109,3,704,19816,48787,
19,NUEVO LEON,11,CERRALVO,6,13,13,1502,48,7,14,12,2147,90,0,0,0,0,0,31,10,3,3,4,0,3871,0,213,4084,7562,
19,NUEVO LEON,12,CIENEGA DE FLORES,20,79,80,4918,298,198,8050,396,4115,3061,391,0,0,0,0,184,37,25,3,561,0,22237,2,618,22857,50128,
19,NUEVO LEON,13,CHINA,11,19,19,27,28,4,5057,31,1766,77,0,0,0,0,0,4,0,0,0,0,0,6994,0,256,7250,10567,
19,NUEVO LEON,14,DR. ARROYO,37,56,56,143,11397,0,155,269,726,8374,0,90,0,0,0,0,0,0,0,0,0,21154,11,1033,22198,30230,
19,NUEVO LEON,15,DR. COSS,5,6,6,9,15,1,780,166,832,0,0,0,0,0,0,6,1,0,0,0,0,1810,0,70,1880,2900,
19,NUEVO LEON,16,DR. GONZALEZ,4,7,7,24,1132,12,70,0,656,351,0,0,0,0,0,0,0,0,0,15,0,2260,0,83,2343,3331,
19,NUEVO LEON,17,GALEANA,37,64,64,141,10185,69,327,145,7495,841,0,0,0,0,0,260,82,2,14,0,0,19561,3,1380,20944,30786,
