ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,MC,MORENA,PS,PAN_PRI_PRD,C_PAN_PRI_PRD,C_MORENA_PT_PVEM_NAS_PES,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
26,SONORA,1,SAN LUIS RIO COLORADO,74,205,206,,,,7660,,1774,18260,,15336,43030,49,1535,44614,121511,https://www.ieesonora.org.mx/elecciones2024/computo/CDE/ACTA_SAN%20LUIS%20RIO%20COLORADO%201.pdf
26,SONORA,2,PUERTO PEÑASCO,52,178,180,,,,10046,,3488,,10559,25105,49198,53,1855,51106,113379,https://www.ieesonora.org.mx/elecciones2024/computo/CDE/ACTA_PUERTO%20PENASCO%202.pdf
26,SONORA,3,CABORCA,76,185,188,,,,3910,,2632,16438,,27908,50888,15,2000,52903,103670,https://www.ieesonora.org.mx/elecciones2024/computo/CDE/ACTA_CABORCA%203.pdf
26,SONORA,4,NOGALES,62,165,166,,,,6158,,1531,7257,,25348,40294,27,1177,41498,102818,https://www.ieesonora.org.mx/elecciones2024/computo/CDE/ACTA_NOGALES%204.pdf
26,SONORA,5,NOGALES,81,191,192,,,,4875,,1221,11114,,27104,44314,45,1359,45718,114747,https://www.ieesonora.org.mx/elecciones2024/computo/CDE/ACTA_NOGALES%205.pdf
26,SONORA,6,HERMOSILLO,92,215,216,,,,7028,,2032,22131,,39007,70198,49,2033,72280,132454,https://www.ieesonora.org.mx/elecciones2024/computo/CDE/ACTA_HERMOSILLO%206.pdf
26,SONORA,7,AGUA PRIETA,73,197,197,10340,5460,925,7742,,1408,,,34066,59941,56,2971,62968,114958,https://www.ieesonora.org.mx/elecciones2024/computo/CDE/ACTA_AGUA%20PRIETA%207.pdf
26,SONORA,8,HERMOSILLO,79,199,200,,,,6645,,2013,27742,,31166,67566,51,1943,69560,118610,https://www.ieesonora.org.mx/elecciones2024/computo/CDE/ACTA_HERMOSILLO%208.pdf
26,SONORA,9,HERMOSILLO,58,177,178,,,,5440,,1730,,7897,30781,45848,38,1367,47253,108234,https://www.ieesonora.org.mx/elecciones2024/computo/CDE/ACTA_HERMOSILLO%209.pdf
26,SONORA,10,HERMOSILLO,79,204,205,,,,5038,,2026,30169,,31295,68528,55,1598,70181,124110,https://www.ieesonora.org.mx/elecciones2024/computo/CDE/ACTA_HERMOSILLO%2010.pdf
26,SONORA,11,HERMOSILLO,73,159,160,,,,4854,,1249,15115,,21353,42571,37,1256,43864,94160,https://www.ieesonora.org.mx/elecciones2024/computo/CDE/ACTA_HERMOSILLO%2011.pdf
26,SONORA,12,HERMOSILLO,52,162,163,,,,5598,,1220,,9325,27270,43413,38,1301,44752,103592,https://www.ieesonora.org.mx/elecciones2024/computo/CDE/ACTA_HERMOSILLO%2012.pdf
26,SONORA,13,GUAYMAS,77,178,179,,,,4182,,2007,14288,,28725,49202,19,1024,50245,102028,https://www.ieesonora.org.mx/elecciones2024/computo/CDE/ACTA_GUAYMAS%2013.pdf
26,SONORA,14,EMPALME,65,159,161,,,,4286,,820,7557,,30678,43341,27,1575,44943,91142,https://www.ieesonora.org.mx/elecciones2024/computo/CDE/ACTA_EMPALME%2014.pdf
26,SONORA,15,CAJEME,88,202,203,,,,5776,,1602,8922,,40991,57291,40,1362,58693,112553,https://www.ieesonora.org.mx/elecciones2024/computo/CDE/ACTA_CAJEME%2015.pdf
26,SONORA,16,CAJEME,82,189,190,,,,5589,,1023,14153,,31604,52369,17,1281,53667,109167,https://www.ieesonora.org.mx/elecciones2024/computo/CDE/ACTA_CAJEME%2016.pdf
26,SONORA,17,CAJEME,67,186,187,,,,5305,,1876,13389,,34736,55306,22,1438,56766,109175,https://www.ieesonora.org.mx/elecciones2024/computo/CDE/ACTA_CAJEME%2017.pdf
26,SONORA,18,CANANEA,98,209,212,7572,19364,1287,6896,,1819,,,25481,62419,19,3146,65584,114479,https://www.ieesonora.org.mx/elecciones2024/computo/CDE/ACTA_CANANEA%2018.pdf
26,SONORA,19,NAVOJOA,54,158,159,,,,5571,,6841,,6192,30485,49089,4,1134,50227,96172,https://www.ieesonora.org.mx/elecciones2024/computo/CDE/ACTA_NAVOJOA%2019.pdf
26,SONORA,20,ETCHOJOA,74,166,169,,,,7714,24478,11993,4244,,,48429,17,2012,50458,94090,https://www.ieesonora.org.mx/elecciones2024/computo/CDE/ACTA_ETCHOJOA%2020.pdf
26,SONORA,21,HUATABAMPO,114,215,216,,,,5737,,2305,20165,,37595,65802,14,2323,68139,110109,https://www.ieesonora.org.mx/elecciones2024/computo/CDE/ACTA_HUATABAMPO%2021.pdf
