ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN_PRI_PRD,PVEM,PT,MC,MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
1,AGUASCALIENTES,1,RINCON DE ROMOS,28,88,89,14744,,1967,2995,12322,32028,6,1321,33355,54392,
1,AGUASCALIENTES,2,ASIENTOS,25,86,86,16674,634,3794,1172,12755,35029,4,1508,36541,55783,
1,AGUASCALIENTES,3,PABELLON DE ARTEAGA,34,98,99,21382,5159,1867,,9582,37990,12,1783,39785,59772,
1,AGUASCALIENTES,4,SAN FRANCISCO DE LOS ROMO,25,99,100,18524,929,601,2534,12777,35365,16,1520,36901,64007,
1,AGUASCALIENTES,5,AGUASCALIENTES,22,86,87,14892,1078,656,2565,9255,28446,25,1111,29582,54413,
1,AGUASCALIENTES,6,AGUASCALIENTES,47,113,114,33087,995,390,2713,8035,45220,56,1187,46463,66979,
1,AGUASCALIENTES,7,JESUS MARIA,10,96,97,24749,1103,511,2978,8613,37954,61,1304,39319,65771,
1,AGUASCALIENTES,8,CALVILLO,36,109,110,18999,1474,792,1700,10168,33133,21,1681,34835,64951,
1,AGUASCALIENTES,9,AGUASCALIENTES,30,94,95,17898,855,526,2787,9401,31467,23,1330,32820,57181,
1,AGUASCALIENTES,10,AGUASCALIENTES,39,98,99,24030,1266,545,2261,8930,37032,29,1296,38357,58374,
1,AGUASCALIENTES,11,AGUASCALIENTES,78,139,141,26927,1192,654,3175,12975,44923,17,1794,46734,71102,
1,AGUASCALIENTES,12,AGUASCALIENTES,25,83,83,10177,781,450,1764,9102,22274,29,1139,23442,51272,
1,AGUASCALIENTES,13,AGUASCALIENTES,35,105,106,17069,1341,706,2683,11415,33214,19,1701,34934,62288,
1,AGUASCALIENTES,14,AGUASCALIENTES,45,111,113,23055,1371,548,4572,10903,40449,41,1502,41992,65388,
1,AGUASCALIENTES,15,AGUASCALIENTES,45,116,117,18362,1123,684,2856,12838,35863,37,1615,37515,63406,
1,AGUASCALIENTES,16,AGUASCALIENTES,25,90,91,13183,1098,567,2192,10055,27095,65,1284,28444,54829,
1,AGUASCALIENTES,17,AGUASCALIENTES,79,134,135,25523,1105,567,2728,11506,41429,37,1606,43072,69164,
1,AGUASCALIENTES,18,AGUASCALIENTES,35,97,98,14138,968,549,2592,10214,28461,27,1359,29847,58295,
