CIRCUNSCRIPCIÓN,ID_ENTIDAD,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,ID_DEMARCACION_LOCAL,DEMARCACION_LOCAL,TIPO DE CANDIDATURA,NOMBRE_ACTOR_POLITICO,NUMERO_LISTA,PERSONA_CANDIDATA,IDENTIDAD_SEXO_GENERICA,ACCION_AFIRMATIVA,RUTA_CONSTANCIA,PARTIDO_POLITICO
4,17,MORELOS,,,,,,,GOB,PVEM_PT_PNAM_MORENA_PES_MAS,1,MARGARITA GONZALEZ SARAVIA CALDERON ,2,CANDIDATURA ADULTO MAYOR,,MORENA
4,17,MORELOS,1,CUERNAVACA,,,,,DIP_LOC_MR,PAN_PRI_PRD_RSPM,1,OSCAR DANIEL MARTINEZ TERRAZAS,1,,,PAN
4,17,MORELOS,2,CUERNAVACA,,,,,DIP_LOC_MR,PAN_PRI_PRD_RSPM,1,ANDREA VALENTINA GUADALUPE GORDILLO VEGA ,2,,,PAN
4,17,MORELOS,3,TLAYACAPAN,,,,,DIP_LOC_MR,MORENA,1,SERGIO OMAR LIVERA CHAVARRIA ,1,CANDIDATURA INDIGENA,,PT
4,17,MORELOS,4,TETELA DEL VOLCAN,,,,,DIP_LOC_MR,MORENA ,1,GUILLERMINA MAYA RENDON ,2,CANDIDATURA INDIGENA,,MORENA 
4,17,MORELOS,5,TEMIXCO,,,,,DIP_LOC_MR,MORENA ,1,JAZMIN JUANA SOLANO LOPEZ ,2,,,MORENA 
4,17,MORELOS,6,JIUTEPEC,,,,,DIP_LOC_MR,MORENA ,1,RAFAEL REYES REYES ,1,,,MORENA 
4,17,MORELOS,7,CUAUTLA,,,,,DIP_LOC_MR,MORENA ,1,NAYLA CAROLINA RUIZ RODRIGUEZ ,2,,,MORENA 
4,17,MORELOS,8,XOCHITEPEC,,,,,DIP_LOC_MR,PT,1,ALBERTO SANCHEZ ORTEGA ,1,CANDIDATURA INDIGENA Y PERSONA CON DISCAPACIDAD,,PT
4,17,MORELOS,9,EMILIANO ZAPATA,,,,,DIP_LOC_MR,MORENA_PNAM_PES_MAS,1,ALFREDO DOMINGUEZ MANDUJANO ,1,,,PES
4,17,MORELOS,10,YECAPIXTLA,,,,,DIP_LOC_MR,PAN_PRI_PRD_RSPM,1,FRANCISCO ERIK SÁNNCHEZ ZAVALA ,1,,,PAN
4,17,MORELOS,11,JOJUTLA,,,,,DIP_LOC_MR,MORENA ,1,ALFONSO DE JESUS SOTELO MARTINEZ ,1,,,MORENA 
4,17,MORELOS,12,YAUTEPEC,,,,,DIP_LOC_MR,MORENA ,1,MARTHA MELISSA MONTES DE OCA MONTOYA ,2,,,MORENA 
4,17,MORELOS,,,,,,,DIP_LOC_RP,MORENA ,1,ISAAC PIMENTEL MEJIA ,1,CANDIDATURA INDIGENA,,MORENA 
4,17,MORELOS,,,,,,,DIP_LOC_RP,PAN,1,GERARDO ABARCA PEÑA,1,,,PAN
4,17,MORELOS,,,,,,,DIP_LOC_RP,MC,1,LUZ DARY QUEVEDO MALDONADO ,2,CANDIDATURA INDIGENA,,MC
4,17,MORELOS,,,,,,,DIP_LOC_RP,PT,1,TANIA VALENTINA RODRÍGUEZ RUIZ ,2,CANDIDATURA AFROMEXICANA,,PT
4,17,MORELOS,,,,,,,DIP_LOC_RP,PVEM,1,LUIS EDUARDO PEDRERO GONZALEZ ,1,CANDIDATURA AFROMEXICANA Y CANDIDATURA ADULTO MAYOR,,PVEM
4,17,MORELOS,,,,,,,DIP_LOC_RP,PRI,1,GONZALA ELEONOR MARTINEZ GOMEZ,2,CANDIDATURA INDIGENA,,PRI
4,17,MORELOS,,,,,,,DIP_LOC_RP,PNAM,1,RUTH CLEOTILDE RODRÍGUEZ LOPEZ ,2,CANDIDATURA ADULTO MAYOR,,PNAM
4,17,MORELOS,,,,,,,DIP_LOC_RP,MORENA ,2,BRENDA ESPINOZA LOPEZ ,2,,,MORENA 
4,17,MORELOS,,,1,AMACUZAC,,,PRES_MUN,PT,1,NOE REYNOSO NAVA,1,,,PT
4,17,MORELOS,,,2,ATLATLAHUCAN,,,PRES_MUN,PAN_PRI_PRD_RSPM,1,AGUSTÍN TOLEDANO AMARO ,1,,,PAN
4,17,MORELOS,,,3,AXOCHIAPAN,,,PRES_MUN,MC,1,MARCO ANTONO CUATE ROMERO ,1,,,MC
4,17,MORELOS,,,4,AYALA,,,PRES_MUN,MORENA_PNAM_PES_MAS,1,NAYELI GUADALUPE MARES MERIDA ,2,,,PES
4,17,MORELOS,,,5,COATLAN DEL RIO,,,PRES_MUN,CAND_IND1,1,LUIS ARMANDO JAIME MALDONADO ,1,,,CAND_IND1
4,17,MORELOS,,,6,CUAUTLA,,,PRES_MUN,PAN_PRI_PRD_RSPM,1,JESUS CORONA DAMIAN ,1,,,PRD
4,17,MORELOS,,,7,CUERNAVACA,,,PRES_MUN,PAN_PRI_PRD_RSPM,1,JOSE LUIS URIOSTEGUI SALGADO ,1,,,PAN
4,17,MORELOS,,,8,EMILIANO ZAPATA,,,PRES_MUN,PVEM,1,J. SANTOS TAVAREZ GARCÍA ,1,,,PVEM
4,17,MORELOS,,,9,HUITZILAC,,,PRES_MUN,MC_PROGRESA,1,CESAR DÁVILA DIAZ ,1,,,PROGRESA
4,17,MORELOS,,,10,JANTETELCO,,,PRES_MUN,PVEM,1,ÁNGEL AUGUSTO DOMÍNGUEZ SÁNCHEZ ,1,,,PVEM
4,17,MORELOS,,,11,JIUTEPEC,,,PRES_MUN,PAN_PRI_PRD_RSPM,1,EDER EDUARDO RODRIGUEZ CASILLAS,1,,,RSPM
4,17,MORELOS,,,12,JOJUTLA,,,PRES_MUN,MORENA ,1,ALAN FRANCISCO MARTINEZ GARCIA ,1,,,MORENA 
4,17,MORELOS,,,13,JONACATEPEC,,,PRES_MUN,PVEM,1,ISRAEL ANDRADE ZAVALA ,1,,,PVEM
4,17,MORELOS,,,14,MAZATEPEC,,,PRES_MUN,PNAM,1,GILBERTO ORIHUELA BUSTOS ,1,,,PNAM
4,17,MORELOS,,,15,MIACATLAN,,,PRES_MUN,MORENA ,1,FRANCISCO LEON Y VELEZ ARRIAGA ,1,,,MORENA 
4,17,MORELOS,,,16,OCUITUCO,,,PRES_MUN,MORENA ,1,RENE JACOBO ORTUÑO ,1,,,MORENA 
4,17,MORELOS,,,17,PUENTE DE IXTLA,,,PRES_MUN,MORENA,1,CLAUDIA MAZARI TORRES ,2,,,MORENA 
4,17,MORELOS,,,18,TEMIXCO,,,PRES_MUN,PAN_PRI_PRD_RSPM,1,ISRAEL PIÑA LABRA ,1,,,PRI
4,17,MORELOS,,,19,TEPALCINGO,,,PRES_MUN,,1,ALFREDO SANCHEZ VÉLEZ,1,,DESIGNACION CONGRESO,
4,17,MORELOS,,,20,TEPOZTLAN,,,PRES_MUN,CAND_IND3,1,PERSEO QUIROZ RENDON ,1,,,CAND_IND3
4,17,MORELOS,,,21,TETECALA,,,PRES_MUN,MORENA,1,ROSBELIA BENITEZ BELLO,2,,,MORENA
4,17,MORELOS,,,22,TETELA DEL VOLCAN,,,PRES_MUN,MC,1,ESAUD MENDOZA SOLIS ,1,,,MC
4,17,MORELOS,,,23,TLALNEPANTLA,,,PRES_MUN,PES,1,JORGE ARMANDO GENARO RUBIO ,1,,,PES
4,17,MORELOS,,,24,TLALTIZAPAN DE ZAPATA,,,PRES_MUN,PVEM,1,NANCY GOMEZ FLORES ,2,,,PVEM
4,17,MORELOS,,,25,TLAQUILTENANGO,,,PRES_MUN,PAN_PRI_PRD_RSPM,1,ENRIQUE ALONSO PLASCENCIA,1,,,RSPM
4,17,MORELOS,,,26,TLAYACAPAN,,,PRES_MUN,MC,1,PEDRO ANTONIO MONTENEGRO MORGADO,1,,,MC
4,17,MORELOS,,,27,TOTOLAPAN,,,PRES_MUN,PT,1,ALEJANDRO ALFARO NOLASCO,1,CANDIDATURA INDIGENA,,PT
4,17,MORELOS,,,28,XOCHITEPEC,,,PRES_MUN,PAN_PRI_PRD_RSPM,1,ROBERTO GONZALO FLORES ZUÑIGA ,1,,,PRI
4,17,MORELOS,,,29,YAUTEPEC,,,PRES_MUN,MORENA_PNAM_PES_MAS,1,AGUSTIN CORNELIO ALONSO ,1,,,PNAM
4,17,MORELOS,,,30,YECAPIXTLA,,,PRES_MUN,PAN_PRI_PRD_RSPM,1,HELADIO RAFAEL SANCHEZ ZAVALA ,1,,,PAN
4,17,MORELOS,,,31,ZACATEPEC,,,PRES_MUN,MAS,1,JOSE LUIS MAYA TORRES ,1,,,MAS
4,17,MORELOS,,,32,ZACUALPAN DE AMILPAS,,,PRES_MUN,PT,1,MARINO SANTIBAÑEZ ALONSO ,1,,,PT
4,17,MORELOS,,,33,TEMOAC,,,PRES_MUN,PVEM,1,VALENTIN LAVIN ROMERO ,1,,,PVEM
4,17,MORELOS,,,1,AMACUZAC,,,SIND_MR,PT,1,AZUCENA ORTEGA PEREZ ,2,,,PT
4,17,MORELOS,,,2,ATLATLAHUCAN,,,SIND_MR,PAN_PRI_PRD_RSPM,1,ELVIA OVANDO VAZQUEZ,2,,,PAN
4,17,MORELOS,,,3,AXOCHIAPAN,,,SIND_MR,MC,1,ISABEL RAMIREZ MONARES ,2,,,MC
4,17,MORELOS,,,4,AYALA,,,SIND_MR,MORENA_PNAM_PES_MAS,1,PABLO ANTONIO MOLINA MORA ,1,,,PES
4,17,MORELOS,,,5,COATLAN DEL RIO,,,SIND_MR,CAND_IND1,1,LORENA FIGUEROA MEDEROS ,2,,,CAND_IND1
4,17,MORELOS,,,6,CUAUTLA,,,SIND_MR,PAN_PRI_PRD_RSPM,1,NANCY GUADALUPE ECHEVERRIA GUERRERO ,2,,,PRD
4,17,MORELOS,,,7,CUERNAVACA,,,SIND_MR,PAN_PRI_PRD_RSPM,1,PAULA TRADE HIDALGO ,2,,,PAN
4,17,MORELOS,,,8,EMILIANO ZAPATA,,,SIND_MR,PVEM,1,MARIA DEL CARMEN CARRILLO FLORES ,2,,,PVEM
4,17,MORELOS,,,9,HUITZILAC,,,SIND_MR,MC_PROGRESA,1,MARÍA ISABEL BERTHA MEZA MARTÍNEZ ,2,CANDIDATURA ADULTO MAYOR,,PROGRESA
